species	electiveCS_mean	VD_mean	b_mean	c_mean	d_mean	healthy_mean	genus_name	genus_lineage	species_name	species_lineage
Rothia_mucilaginosa	0.0	0.12127	0.222804167	150.9650465	91.03348	795.387532	Rothia	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;	Rothia mucilaginosa	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa
Neisseria_subflava	0.0	0.14645	0.805742083	148.7237361	55.17494563	544.1000113	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria subflava	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria subflava
Schaalia_odontolytica	0.0	0.0	0.0	86.0440913	7.1197675	417.377783	Schaalia	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;	Schaalia odontolytica	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia odontolytica
Streptococcus_parasanguinis	0.0	0.0	5.649105417	42.34145783	13.84192875	436.8580873	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus parasanguinis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis
Streptococcus_mitis	0.0	3.932495	4.34607375	257.8136009	28.22126813	163.9158597	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus mitis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis
Prevotella_melaninogenica	0.0	0.0	0.0	159.6713113	29.460945	264.221207	Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Prevotella melaninogenica	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella melaninogenica
Veillonella_dispar	0.0	0.0	0.94959	83.52384261	17.38034313	299.3840557	Veillonella	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;	Veillonella dispar	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella dispar
Veillonella_atypica	0.0	0.0	5.5111425	44.08574087	17.0764675	261.07512	Veillonella	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;	Veillonella atypica	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella atypica
Haemophilus_parainfluenzae	0.0	0.0517	8.164918333	75.76590957	20.21037563	85.39782567	Haemophilus	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;	Haemophilus parainfluenzae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae
Fusobacterium_periodonticum	0.0	0.04156	0.0	50.84660087	23.28037	112.1385197	Fusobacterium	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;	Fusobacterium periodonticum	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium periodonticum
