species	gc_ref	chr_lngth	19_003c	19_003d	19_004c	19_004d	19_013c	19_013d	19_020c	19_027c	19_027d	19_028c	19_028d	19_029c	19_029d	19_030c	19_030d	19_033c	19_033d	19_037c	19_037d	19_041c	19_041d	19_046c	19_046d	19_050c	19_050d	20_004c	20_004d	20_017c	20_017d	20_021c	20_021d	20_022c	20_022d	20_023c	20_023d	20_028c	20_041c	20_052c	20_058c	20_061c	KGCF02	KGCF04	KGCF07	KGCF10	KGCF11	KGCF12	KGCF14	KGCF16	KGCF17	KGCF18	KGCF32	KGCF36	KGCF39	KGCF41	KGCF42	KGCF43	KGCF44	KGCF45	KGCF46	KGCF47	KGCF48	KGCF49	KGCF50	KGCF51	KGCF52	KGCF53	KGCF55	KGCF56	KGCF57	KGCF58
Rothia mucilaginosa	50	2	14.48816	13.42597	171.19188	153.94325	226.41598	24.73051	22.09523	168.41234	237.9994	66.7238	472.34417	4.45993	219.2672	178.37773	0.98998	97.49668	179.03338	6.48671	0.99537	423.836	16.93731	2.45063	15.23451	1603.9078	16.67424	73.22823	8.39771	99.14308	91.31052	137.68635	3.66636	5.48636	0.14449	36.76031	2.43668	44.19229	58.00949	17.36068	11.64315	2.34326	21.34447	47.04936	28.87168	68.25474	124.55326	168.38009	267.56062	398.1511	10076.52785	2472.99704	364.99137	14.91946	4.78183	3.89722	929.68494	347.12117	15.81149	1415.67074	1717.61596	0.54302	358.68671	1.57462	897.46031	3967.83497	0.3888	24.85749	49.72665	1.34239	4.02512	67.00149
Neisseria subflava	50	2	23.71161	62.5812	266.28739	158.04607	1.10532	6.00455	76.66103	73.34927	9.82891	165.03355	140.16235	4.02475	76.54184	546.03893	2.23158	47.95946	105.73537	38.85198	0.19211	74.54487	9.124	0.60543	9.95235	1121.37141	34.27015	125.31059	30.58245	87.19373	176.87169	536.6157	38.00355	25.96378	3.18754	203.45989	19.67553	0	0	0.28626	1.30882	0.96216	0.03975	18.78045	0	0.81099	74.66907	275.36701	4295.38321	0.96391	7352.52922	1.78404	0	0.28184	0.13912	0.27427	0.93614	0	0	615.57394	0	0	336.37194	0.01854	498.87818	2835.35665	0.61996	0.05728	0.06484	14.09999	0	0
Schaalia odontolytica	50	2	3.64956	4.90835	61.48559	17.07949	13.18236	2.52078	8.00956	49.78582	35.49218	12.07463	15.65259	0.94532	3.1711	105.74453	0.07074	39.32552	15.12516	7.84136	0.06484	114.91327	3.11281	0.25977	1.85778	1418.43377	1.76323	14.00123	2.82679	22.21685	8.216	36.83915	1.29109	3.10204	0.09148	11.58479	0.73671	6.39538	25.65349	21.23022	1.90959	0.4303	0.22559	5.3374	0	2.57082	126.27697	28.99832	858.69902	316.44194	6809.249	94.65001	19.0559	7.48098	3.70526	2.53458	299.35144	26.08521	2.38436	626.90486	0.76585	0	53.51608	0	72.65896	3095.95627	0.15583	0.58895	42.27899	1.83981	3.1263	20.49479
Streptococcus parasanguinis	50	2	7.82039	6.95079	82.8204	29.54108	181.52629	6.43581	17.43379	52.28287	52.5355	4.63241	83.47295	1.57455	8.9876	35.3015	0.25471	48.01025	19.00993	48.17622	0.26809	65.14709	1.33269	2.68877	1.9321	200.41418	0.93592	17.03915	1.40683	9.64305	6.55829	62.8616	0.9574	2.57414	0.08531	8.34716	1.07395	19.14238	84.69901	18.62087	2.33376	0.7637	20.06506	10.61183	0.11407	98.07671	73.82701	77.27305	616.55191	114.68722	6476.71187	685.16503	168.52998	8.10244	1.33588	4.07812	830.52948	152.30287	10.38755	507.6743	1560.14296	0.24718	31.89096	2.32517	94.88907	1458.947	0.73139	16.67831	38.20534	1.0298	1.65288	42.97818
Prevotella melaninogenica	50	2	6.7895	6.35183	43.05842	10.52439	182.76156	7.4172	33.70375	148.9059	125.82919	7.74256	65.96404	1.39031	16.27327	65.7431	0.49028	299.91253	102.68208	3.51632	0.52922	1426.28691	5.54323	0.19826	25.85211	108.75862	1.00887	49.39124	31.34565	1.0329	56.25656	571.32968	8.9672	28.68018	1.13841	182.35094	5.73081	36.66004	314.89391	143.11593	15.0431	1.1745	0.41279	6.35402	0	4.86811	46.41767	418.97447	4397.31668	188.34872	1401.9337	0	0.68452	7.37503	1.1808	1.66565	0.76436	0	12.20147	1156.44006	0	0	0.50268	1.48059	22.75815	99.41423	0	22.41687	88.04841	1.79049	9.31644	35.9703
Streptococcus mitis	50	2	7.27021	18.61187	299.42713	40.16419	47.69671	36.83657	60.32608	3776.60316	17.24544	87.46468	41.57332	161.08983	73.22821	450.7093	15.41083	44.10324	23.44336	82.84086	2.33577	59.36239	7.06201	39.7515	11.11674	18.60197	4.78446	22.77433	2.87729	77.72655	25.09537	454.70217	37.58972	14.43015	3.31847	51.01637	93.18244	12.8916	53.33501	104.24322	2.31872	1.02764	9.70444	328.06998	5.94536	178.88721	36.96674	159.68497	357.32518	139.03643	1159.26883	464.28509	242.58083	199.70978	14.33524	144.06002	138.32276	195.64215	51.8171	237.94863	216.60756	1.53493	50.95328	4.95128	81.09652	344.17421	52.4443	26.69502	13.67278	1.66192	11.35271	48.74054
Veillonella dispar	50	2	5.02102	4.12997	50.27186	19.78965	380.47813	7.68242	19.67698	130.67329	121.1792	8.79541	67.29798	1.86844	6.0411	38.41756	0.15733	76.26259	28.06142	67.77401	0.29735	355.13388	3.80845	2.66595	3.50826	374.95493	0.4632	17.16888	3.66604	14.62969	8.50099	74.97327	2.32622	5.20922	0.14	18.00039	1.33326	25.22864	152.4915	95.38286	4.39916	1.57072	1.54061	6.03383	9.67213	2.55922	78.75697	125.99273	2324.31106	192.28029	1712.69585	1455.54069	139.28603	7.7558	7.36249	3.97624	518.73688	18.45084	4.06326	720.67096	38.04525	0	5.6433	0.38259	45.02142	1506.4574	0.12929	7.56098	21.57352	1.0217	0.47836	25.52198
Veillonella atypica	50	2	1.54283	2.91064	9.74165	4.1632	202.06476	8.13132	21.80704	56.20034	201.32628	1.65377	15.65814	0.58127	8.21487	29.94197	0.22282	93.18733	5.7735	6.45938	0.18176	140.61119	1.32593	2.29621	6.27445	17.90037	0	3.0237	0.95399	5.16268	17.15781	43.81856	0.53547	10.70015	0	28.52385	0.57506	25.24252	247.21901	58.80477	3.91705	3.57164	0.10772	1.67221	1.92326	2.85945	86.92922	169.12581	770.19131	210.49444	2995.17131	307.72165	156.14674	1.43636	4.98147	1.37276	665.59272	13.23864	7.25471	243.02108	1995.13635	0.06428	0.58211	0.08779	5.65987	120.65449	0	8.94199	39.23614	0.49635	3.63802	18.51535
Fusobacterium periodonticum	50	2	12.89611	14.62328	75.45821	48.83743	0.32416	2.43086	65.83734	29.99554	9.82739	56.79673	15.93677	2.11952	20.2428	139.25782	0.85625	138.57907	104.09862	33.3414	0.34428	33.20764	1.19038	0.06565	0.70704	150.76048	12.83382	14.74747	23.11096	39.30109	79.58353	175.56249	21.99771	36.85602	1.55259	107.6903	14.65649	0.22875	0	46.06823	10.10245	0.27535	0.98108	4.63098	0	1.06908	0.07725	106.89783	1150.7833	0.57946	1515.9799	1.9832	0	0.10656	0.09807	0.05335	0	0	0	68.97379	0	0	121.89839	0.04178	254.52073	134.61618	0	0	0	0.07331	0	0.79135
Streptococcus salivarius	50	2	0.35266	1.33331	4.16007	16.28717	61.57225	3.1948	1.56622	14.0753	28.1357	0.3461	34.03076	0.37818	7.56092	9.59912	0.0813	6.71336	9.28804	8.35117	0.11439	12.85925	0.56975	11.54425	1.89252	51.84153	0	1.45393	1.51557	0.32746	9.0993	2.64027	0	0.13476	0	0.26798	0	2.28181	6.37316	2.75946	0	0.20749	0.33451	2.74612	1.84825	10.36564	23.75289	7.92624	43.26348	31.91199	2619.32588	375.79212	145.81295	2.83617	1.89185	1.11527	348.71145	5.07856	2.11414	83.86533	534.37963	0	1.0031	0.05117	11.00085	62.02976	0.20508	3.96704	7.03032	0.30018	0.15885	5.96159
