Domain;Phylum;Class;Order;Family;Genus;Species;19_003a;19_003b;19_003c;19_003d;19_004a;19_004b;19_004c;19_004d;19_013b;19_013c;19_013d;19_020a;19_020b;19_020c;19_027a;19_027b;19_027c;19_027d;19_028a;19_028b;19_028c;19_028d;19_029a;19_029b;19_029c;19_029d;19_030a;19_030b;19_030c;19_030d;19_033a;19_033b;19_033c;19_033d;19_037a;19_037b;19_037c;19_037d;19_041a;19_041b;19_041c;19_041d;19_046a;19_046b;19_046c;19_046d;19_050a;19_050b;19_050c;19_050d;19_053a;19_053b;20_004a;20_004b;20_004c;20_004d;20_017a;20_017b;20_017c;20_017d;20_021a;20_021b;20_021c;20_021d;20_022a;20_022b;20_022c;20_022d;20_023a;20_023b;20_023c;20_023d;20_028a;20_028b;20_028c;20_041a;20_041b;20_041c;20_052a;20_052b;20_052c;20_058a;20_058b;20_058c;20_061a;20_061b;20_061c;KGCF02;KGCF04;KGCF07;KGCF10;KGCF11;KGCF12;KGCF14;KGCF16;KGCF17;KGCF18;KGCF32;KGCF36;KGCF39;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia mucilaginosa;0;0;0.11611655;0.02896065;0;0;0.090990784;0.2106875;0;0.132787537;0.086152924;0.000796391;0;0.017337772;0;0;0.026068148;0.181105855;0;0;0.117385897;0.352200887;0;0;0.014212214;0.211888327;0;0;0.080483452;0.005282075;0;0;0.068148822;0.211357095;0;0;0.008300335;0.007794989;0;0;0.134581114;0.059783849;0;0;0.013650826;0.132703711;0;0.08245343;0.284063986;0.157484382;0;0;0;0.001404915;0.154363598;0.051957806;0;0;0.181202221;0.115027088;0;0;0.041976621;0.008230166;0;0;0.023837809;0.001571307;0;0;0.042810525;0.002381482;0;0;0.156500475;0;0;0.044658779;0;0;0.012547731;0;0;0.161544452;0;0;0.075984265;0.305748885;0.035447524;0.408815801;0.118510914;0.130652364;0.082644182;0.014645496;0.180156244;0.206990531;0.315803965;0.199657107;0.034289247;0.079061137;0.011225672;0.224812325;0.36872885;0.076268617;0.179989806;0.212584506;0.090612125;0.170612693;0.050844462;0.300584921;0.246792843;0.002494479;0.126728413;0.122369811;0.024677699;0.057910873;0.148099113
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis;0;0.043622283;0.058267739;0.040146953;0;0.017097949;0.15914964;0.054968969;0;0.027972935;0.128326614;0.000275054;0.035044082;0.047336961;0;0.05338261;0.584571209;0.013122939;0;0.077718953;0.153875215;0.030998952;0;0;0.513336101;0.070763937;0;0;0.20335889;0.082224859;0;0.108045842;0.030827584;0.027675988;0;0;0.106002271;0.018291938;0;0;0.018849434;0.024926905;0;0.001231008;0.221429447;0.096834945;0;0.082373532;0.003294554;0.045188127;0;0;0;0;0.048007838;0.017802252;0;0;0.142059755;0.031613567;0;0;0.138625556;0.084380582;0;0.005845205;0.062697995;0.036088437;0.005330119;0.072899463;0.059412977;0.091071805;0;0;0.045653727;0;0.061906743;0.041060175;0;0;0.075343691;0.064791227;0.023822735;0.032171416;0;0;0.033322928;0.139011307;0.247171801;0.084184942;0.310602839;0.038776944;0.078376536;0.019558956;0.062911549;0.023813552;0.05928969;0.132696377;0.458991394;0.237013896;0.414955654;0.033448635;0.207820829;0.249946229;0.030253034;0.026808945;0.256131498;0.024236425;0.159876461;0.027161544;0.021407092;0.336470463;0.136096571;0.033646689;0.030551823;0.163335829;0.107735479
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria subflava;0;0;0.190038827;0.13499155;0;0;0.141535484;0.216302772;0;0.000648244;0.02091789;0.000961688;0;0.060154742;0;0;0.011353508;0.007479318;0;0;0.290340774;0.104511394;0;0;0.012825455;0.073966053;0;0;0.246371532;0.011906672;0;0;0.03352303;0.124825581;0;0;0.049714632;0.001504439;0;0;0.02367035;0.032205142;0;0;0.003372461;0.086692344;0;0;0.198603636;0.323673898;0;0;0;0;0.264152277;0.189218122;0;0;0.1593628;0.222811808;0;0;0.163598283;0.085309522;0;0;0.112810806;0.03466455;0;0;0.236946659;0.019229863;0;0;0;0;0;0;0;0;0.0002069;0;0.290615978;0.018159401;0;0;0.031199507;0.000569448;0.014149417;0;0.001408124;0.078325511;0.135155557;0.235116855;0.000436152;0.151034608;0.000227824;0;0.000647748;0.002300089;0.000790017;0.000226372;0;0;0.078264717;0;0;0.159998596;0.000598678;0.167088538;0.176354708;0.003977516;0.000292047;0.00015955;0.259206455;0;0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella melaninogenica;0;0;0.05441517;0.013701326;0;0;0.022886208;0.014403772;0;0.107185471;0.025839162;0;0;0.026446857;0;0;0.023048793;0.095749947;0;0;0.013621361;0.049185854;0;0;0.00443042;0.015725671;0;0;0.029663138;0.00261593;0;0;0.209635046;0.121221182;0;0;0.004499465;0.004144482;0;0;0.45289158;0.019566063;0;0;0.001104385;0.225191374;0;0;0.019262026;0.009528573;0;0;0;0;0.104115934;0.19394036;0;0;0.001887813;0.070868545;0;0;0.174182482;0.020129407;0;0;0.124613495;0.012380221;0;0;0.212363857;0.005601005;0;0;0.129826388;0;0;0.242422892;0;0;0.103439872;0;0;0.208717963;0;0;0.038085299;0.005913082;0.004787197;0;0.00845255;0.048690765;0.205641227;0.240696728;0.085224649;0.028798362;0;0.000374444;0.016950005;0.019523022;0.004797816;0.000184834;0;0.058855414;0.147031293;0;0;0.000239103;0.047808355;0.007622366;0.006183419;0;0.114285869;0.216674458;0.032915474;0.134039409;0.079508398
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis;0;0.122386167;0.062677219;0.014993286;0;0.185571716;0.044020221;0.040430076;0;0.106460684;0.022420267;0;0;0.013680031;0;0.003710411;0.008092745;0.039976919;0;0;0.008149712;0.062241152;0;0;0.005017547;0.008685148;0;0;0.015927928;0.001359005;0;0;0.033558496;0.022442108;0;0;0.061645766;0.002099457;0;0;0.02068623;0.004704027;0;0;0.01497738;0.01683;0;0;0.035494852;0.008839551;0;0;0;0;0.035918179;0.008704246;0;0;0.01762447;0.008261712;0;0;0.019164652;0.002149153;0;0;0.011184447;0.000927702;0;0;0.009720984;0.001049623;0;0;0.067789949;0;0;0.065205819;0;0;0.013458573;0;0;0.032380048;0;0;0.024764249;0.287422121;0.007995073;0.001615248;0.170290983;0.077442182;0.037927109;0.033748276;0.051893953;0.133043638;0.087496156;0.092189167;0.01862176;0.022087004;0.011746771;0.200834984;0.161783491;0.050105636;0.064546215;0.193094464;0.041245904;0.015169239;0.075079718;0.031781044;0.09074415;0.004692438;0.08502934;0.094017629;0.0189312;0.023780613;0.09499838
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;Veillonella dispar;0;0;0.040241563;0.008908636;0;0;0.026720301;0.027084295;0;0.223141995;0.02676312;0;0;0.015440273;0;0;0.020226611;0.092211738;0;0;0.015473674;0.050180576;0;0;0.005954078;0.00583782;0;0;0.017333953;0.000839429;0;0;0.053306665;0.033127907;0;0.003831179;0.08672325;0.002328603;0;0;0.112766365;0.013442767;0;0;0.014850307;0.030559563;0;0.001946836;0.066407539;0.004374803;0;0;0;0;0.03619175;0.022682414;0;0;0.026738567;0.010709041;0;0;0.022857193;0.005221863;0;0.0264644;0.02263376;0.001522483;0;0;0.02096307;0.001303062;0;0;0.089343833;0;0;0.117396603;0;0;0.068939895;0;0;0.061036951;0;0;0.050933528;0.022068552;0.004545973;0.136955513;0.004443606;0.082613818;0.0618399;0.127226528;0.087003719;0.035182048;0.185874188;0.076192371;0.01782514;0.121729229;0.01145334;0.125439096;0.019599428;0.019599694;0.091627106;0.004708769;0;0.002684297;0.012353842;0.015079004;0.09369955;0.000829527;0.038547496;0.053089384;0.018782499;0.006882313;0.056413639
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;Veillonella atypica;0;0;0.012365178;0.006278433;0;0;0.005177815;0.00569778;0;0.118505881;0.028326831;0;0;0.017111638;0;0;0.008699106;0.153199421;0;0;0.002909445;0.011675417;0;0;0.001852309;0.007938422;0;0;0.013509713;0.001188859;0;0;0.065136682;0.006815886;0;0.284128435;0.008265354;0.001423379;0;0;0.044648416;0.004680157;0;0;0.012790688;0.054655105;0;0.113788937;0.003170292;0;0;0;0;0;0.006373904;0.005902469;0;0;0.00943576;0.021614298;0;0;0.013359018;0.001202005;0;0.002701947;0.046491338;0;0;0;0.033218471;0.000562036;0;0;0.089392639;0;0;0.190322389;0;0;0.042502234;0;0;0.054347631;0;0;0.115816387;0.001543063;0.001259864;0.027232819;0.004964876;0.09118599;0.083010217;0.042158038;0.095245064;0.061526402;0.039296324;0.085415231;0.003301168;0.08236189;0.003954155;0.160950753;0.014062722;0.03499397;0.03089793;0.246932323;0.010726298;0.000276885;0.002834838;0.001895652;0.007504515;0;0.045588072;0.096554274;0.009124639;0.052341588;0.04092608
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia odontolytica;0;0;0.02924972;0.010587603;0;0;0.032680412;0.023375068;0;0.007731126;0.008781565;0;0;0.006284973;0;0;0.007706217;0.027007794;0;0;0.021242674;0.011671267;0;0;0.003012405;0.003064387;0;0;0.047711615;0.000377425;0;0;0.027487994;0.01785595;0;0;0.010033718;0.000507754;0;0;0.036488565;0.010987323;0;0;0.001447002;0.016182585;0;0;0.251215303;0.016653291;0;0;0;0;0.029514298;0.017489731;0;0;0.04060538;0.010349993;0;0;0.011231163;0.002898207;0;0;0.013478124;0.000994839;0;0;0.013491481;0.00072002;0;0;0.022648304;0;0;0.019749426;0;0;0.015344515;0;0;0.026494872;0;0;0.013953033;0.003231533;0.004021259;0;0.004463728;0.132460473;0.014232931;0.047002661;0.143184473;0.139874556;0.012086871;0.010423938;0.01719347;0.061261401;0.007300703;0.072387836;0.027708974;0.011501269;0.079705318;9.47869E-05;0;0.025455423;0;0.024335547;0.192563433;0.000999741;0.003002595;0.104042266;0.033822052;0.044979171;0.045301375
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae;0;0;0.076703298;0.02727678;0;0;0.102757798;0.06411132;0;0.000371692;0.024679855;0.000339513;0;0.04001748;0;0;0.021469236;0.00773737;0;0;0.061249387;0.08101429;0.544745945;0.612098124;0.0055491;0.026846714;0;0;0.032440268;0.006023744;0;0;0.110264618;0.042319688;0;0.002934077;0.044399235;0.003429152;0;0;0.031817163;0.009432359;0;0;0.004742304;0.023656771;0;0;0.061026658;0.08423921;0;0;0;0;0.139465376;0.097259554;0;0;0.183254649;0.031193667;0;0;0.107037381;0.02314249;0;0.089839357;0.082685762;0.007079072;0;0.209296493;0.029763539;0.007298405;0;0;0.025615989;0;0;0.004396018;0;0;0.013102632;0;0;0.121409566;0;0;0.030218563;0.002509232;0.028826626;0.027870073;0.00095742;0.007449866;0.027819968;0.000739678;0.001656709;0.016697578;0.001620231;0.000542292;0.004532564;0.013869732;0.01042712;0.000219026;0.001256441;0.001522185;0.051278525;0;0;0.118054889;0.001371366;0.147723922;0.031141944;0.031257578;0.000433245;0.000259576;0.053567268;0.002613463;0.007069153
Bacteria;Firmicutes;Bacilli;Gemellales;Gemellaceae;Gemella;Gemella haemolysans;0;0.143605087;0.012926044;0.029040853;0;0.112653541;0.03071368;0.009793168;0;0.031291686;0.401321405;0;0;0.083149305;0;0.053467198;0;0.01345162;0;0;0.038205598;0.024592315;0;0;0.067159568;0.012189707;0;0;0.040195251;0.00763269;0;0.465925044;0.018453351;0.0102147;0;0;0.266200315;0.050247113;0;0;0.009183511;0.010756022;0;0.442994399;0.385494874;0.018027555;0;0;0.000228136;0.037405469;0;0;0;0;0.01160124;0.006179056;0;0;0.011004407;0.01937441;0;0;0.016070565;0.068075451;0;0;0.019216248;0.037029995;0;0;0.037835851;0.042288797;0;0;0.125642944;0;0.544401586;0.010950439;0;0;0.027173674;0.002252929;0;0.017639036;0;0;0.005159726;0.005119008;0.474742873;0.06305452;0.013575171;0.020982465;0.019920958;0.017065096;0.010077324;0.003151606;0.014068117;0.051586689;0.170626559;0.03478756;0.080003902;0.002654969;0.022287216;0.02949393;0.014509792;0.001563208;0.144186803;0.010443418;0.007379167;0.013503492;0.003382348;0.119420595;0.028538602;0.009332113;0.027850602;0.030807268;0.033182078
